STT,Mã câu,Trục,Nội dung câu hỏi,Khách sửa thành,Ghi chú của khách
1,scq-01,S · Sự rõ ràng,"Trước khi bắt đầu một công việc mới, bạn thường được làm rõ về trách nhiệm của mình và người phối hợp cùng.",,
2,scq-02,S · Sự rõ ràng,"Với các công việc quan trọng, bạn có quy trình và hướng dẫn cụ thể trước khi bắt đầu triển khai.",,
3,scq-03,S · Sự rõ ràng,Các nguyên tắc phối hợp trong đội ngũ của bạn được thống nhất rõ ràng và cập nhật đầy đủ đến mọi người liên quan.,,
4,scq-04,S · Sự rõ ràng,"Bạn biết rõ thông tin nào cần chia sẻ qua kênh nào, không bị lạc trong quá nhiều nhóm chat hay email chồng chéo.",,
5,scq-05,S · Sự rõ ràng,"Khi có thay đổi trong công việc, nhìn chung bạn không bị bất ngờ hay phải tự tìm hiểu thêm.",,
6,scq-06,C · Mối quan hệ,Bạn nhận thấy cấp quản lý của mình nhất quán giữa những gì nói và những gì làm trong thực tế công việc.,,
7,scq-07,C · Mối quan hệ,"Những người bạn làm việc cùng thể hiện sự nhất quán giữa lời nói và hành động, bạn có thể tin vào cam kết của họ.",,
8,scq-08,C · Mối quan hệ,"Bạn cảm thấy thoải mái khi nêu ý kiến khác biệt với số đông, kể cả khi điều đó tạo ra tranh luận.",,
9,scq-09,C · Mối quan hệ,"Khi bạn nhận thấy rủi ro hoặc vấn đề tiềm ẩn, bạn sẵn sàng lên tiếng, kể cả khi chưa có giải pháp.",,
10,scq-10,C · Mối quan hệ,"Khi có bất đồng quan điểm, cuộc trao đổi của bạn tập trung vào tìm giải pháp thay vì tranh luận về ai đúng.",,
11,scq-11,A · Cách làm việc,"Trong công việc hàng ngày, bạn hiểu rõ công việc của mình kết nối với mục tiêu chung của đội nhóm như thế nào.",,
12,scq-12,A · Cách làm việc,"Khi mục tiêu thay đổi, bạn được thông báo kịp thời và rõ lý do, không phải tự đoán hay phát hiện muộn.",,
13,scq-13,A · Cách làm việc,"Nhịp phối hợp của đội nhóm bạn rõ ràng và ổn định, có check-in đều đặn, không bị lạc nhịp.",,
14,scq-14,A · Cách làm việc,"Sau mỗi giai đoạn hoặc dự án, nhóm của bạn có thời gian chính thức để nhìn lại và đánh giá những gì đã làm.",,
15,scq-15,A · Cách làm việc,"Những điểm cần điều chỉnh sau khi nhìn lại được chuyển thành hành động cụ thể, có người theo dõi.",,
